Days,Values
2014-10-13,23.4
2014-10-14,23.75
2014-10-15,23.280001
2014-10-16,23.42
2014-10-17,23.155001
2014-10-20,23.040001
2014-10-21,23.27
2014-10-22,23.6
2014-10-23,24.120001
2014-10-24,24.01
2014-10-27,23.6
2014-10-28,23.469999
2014-10-29,24.290001
2014-10-30,24.51
2014-10-31,25.969999
2014-11-03,25.540001
2014-11-04,24.450001
2014-11-05,24.959999
2014-11-06,25.08
2014-11-07,24.41
2014-11-10,25.049999
2014-11-11,24.379999
2014-11-12,25.389999
2014-11-13,25.5
2014-11-14,25.43
2014-11-17,25.23
2014-11-18,25.799999
2014-11-19,25.75
2014-11-20,25.950001
2014-11-21,26
2014-11-24,25.639999
2014-11-25,25.6
2014-11-26,25.73
2014-11-28,25.620001
2014-12-01,25.6
2014-12-02,25.468
2014-12-03,25.440001
2014-12-04,25.23
2014-12-05,25.629999
2014-12-08,25.950001
2014-12-09,26.950001
2014-12-10,26.549999
2014-12-11,26.58
2014-12-12,26.66
2014-12-15,26.379999
2014-12-16,25.32
2014-12-17,25.24
2014-12-18,25.389999
2014-12-19,25.889999
2014-12-22,26
2014-12-23,26.799999
2014-12-24,26.799999
2014-12-26,26.75
2014-12-29,26.74
2014-12-30,26.719999
2014-12-31,26.700001
2015-01-02,26.799999
2015-01-05,26.58
2015-01-06,25.879999
2015-01-07,26.66
2015-01-08,27.200001
2015-01-09,27
2015-01-12,26.940001
2015-01-13,26.91
2015-01-14,27.059999
2015-01-15,26.92
2015-01-16,26.25
2015-01-20,26.309999
2015-01-21,25.940001
2015-01-22,25.879999
2015-01-23,26.1
2015-01-26,25.92
2015-01-27,26.461
2015-01-28,27.08
2015-01-29,26.75
2015-01-30,26.559999
2015-02-02,26.74
2015-02-03,26.655001
2015-02-04,26.5
2015-02-05,26.530001
2015-02-06,26.5
2015-02-09,26.780001
2015-02-10,26.889999
2015-02-11,27
2015-02-12,27.389999
2015-02-13,26.5
2015-02-17,26.200001
2015-02-18,26.299999
2015-02-19,26.43
2015-02-20,26.5
2015-02-23,26.450001
2015-02-24,26.59
2015-02-25,26.68
2015-02-26,26.59
2015-02-27,26.74
2015-03-02,27.200001
2015-03-03,27.065001
2015-03-04,26.790001
2015-03-05,26.559999
2015-03-06,26.26
2015-03-09,26.190001
2015-03-10,25.950001
2015-03-11,25.98
2015-03-12,26.129999
2015-03-13,26.17
2015-03-16,26.440001
2015-03-17,26.52
2015-03-18,26.809999
2015-03-19,27.190001
2015-03-20,27.25
2015-03-23,27.5
2015-03-24,27.440001
2015-03-25,27.129999
2015-03-26,27.110001
2015-03-27,26.9
2015-03-30,27.24
2015-03-31,27.16
2015-04-01,27.389999
2015-04-02,27.629999
2015-04-06,27.540001
2015-04-07,27.42
2015-04-08,27.389999
2015-04-09,27.15
2015-04-10,27.25
2015-04-13,27.290001
2015-04-14,27.15
2015-04-15,26.99
2015-04-16,26.709999
2015-04-17,26.4
2015-04-20,26.4
2015-04-21,26.120001
2015-04-22,26.190001
2015-04-23,26.120001
2015-04-24,26.32
2015-04-27,26.25
2015-04-28,25.889999
2015-04-29,25.92
2015-04-30,25.889999
2015-05-01,26.375
2015-05-04,26.43
2015-05-05,26.309999
2015-05-06,26.115
2015-05-07,25.85
2015-05-08,25.92
2015-05-11,26.18
2015-05-12,26.08
2015-05-13,26.15
